IDLigne,Date,IDCommande,Produit,Categorie,Quantite,Prix,Montant,Region,Client
1ff217aa612f6cd7c4255c9bfe931c8b-L1,2016-10-04 09:16:33,1ff217aa612f6cd7c4255c9bfe931c8b,SKU-33430c5c10,Consoles Games,1,32.49,32.49,Sao Paulo,14359ea0c7a105749c0a56478825b015
46046adea0e222a29259bad3d922fee8-L1,2016-10-04 10:41:17,46046adea0e222a29259bad3d922fee8,SKU-79bcd1f7f0,Fixed Telephony,1,199.0,199.0,Santa Catarina,4be873e3bf0455763882101d7eccc78c
90aea7c4e52538a18cb9bbfd16f09185-L1,2016-10-04 19:25:29,90aea7c4e52538a18cb9bbfd16f09185,SKU-4fee671ea4,Consoles Games,1,949.99,949.99,Rio de Janeiro,cfbb7c1c3d613d974eef515b180e2c9b
d1eb8e4e276a4eea13a5c462c0765e60-L1,2016-10-04 19:30:28,d1eb8e4e276a4eea13a5c462c0765e60,SKU-c3b8f6be35,Telephony,1,19.99,19.99,Bahia,f99053da7416fd6d626451cd49e44e0f
6e0d2539e48e84296bae6290de41058c-L1,2016-10-04 19:41:52,6e0d2539e48e84296bae6290de41058c,SKU-4fee671ea4,Consoles Games,1,949.99,949.99,Rio Grande do Sul,40b41ade17bb2121b576b07e25ce622b
5cc475c7c03290048eb2e742cd64cb5e-L1,2016-10-04 21:54:52,5cc475c7c03290048eb2e742cd64cb5e,SKU-3410cbd7df,Computers Accessories,1,71.0,71.0,Sao Paulo,2bf93b9956e26356b52f5d426c7801de
cbbb524a0e1646aa6cf7a3c0bbe517ad-L1,2016-10-05 07:31:49,cbbb524a0e1646aa6cf7a3c0bbe517ad,SKU-bab7ff9abb,Computers Accessories,1,75.0,75.0,Pernambuco,12cc890391e57d7123e004856ff1f137
18dad78c0f87f4c45ef196daeaa3ffbb-L1,2016-10-05 08:01:47,18dad78c0f87f4c45ef196daeaa3ffbb,SKU-0fc6914383,Computers Accessories,1,43.89,43.89,Parana,231fb63f9dc7482c7016020ef322b011
92b44b87f1f7670b8911c5f0e642435e-L1,2016-10-05 11:08:46,92b44b87f1f7670b8911c5f0e642435e,SKU-f07ef9dd6e,Fixed Telephony,1,149.99,149.99,Sao Paulo,acf599349b44e4e51d2beacb549313ad
dc5f6cd4492bbffe5bcda9b87856c9a5-L1,2016-10-05 13:12:43,dc5f6cd4492bbffe5bcda9b87856c9a5,SKU-af667947a8,Telephony,2,39.9,79.8,Minas Gerais,bdb88619ffe5ca24fa5732468bd34573
719628a909505f12f342015fd53a8d43-L1,2016-10-05 14:49:49,719628a909505f12f342015fd53a8d43,SKU-407e01944d,Telephony,1,29.9,29.9,Sao Paulo,d8e40a4b16990a6fd1095feae46aa1af
cf47ad2fb60cae3f74b943646f685c94-L1,2016-10-05 20:09:05,cf47ad2fb60cae3f74b943646f685c94,SKU-fb01a5fc09,Consoles Games,1,629.9,629.9,Ceara,3b2aa495b3557acad84b380301a9cc94
7a36fa82d4bcff7d936c10be470b9c8e-L1,2016-10-05 23:14:34,7a36fa82d4bcff7d936c10be470b9c8e,SKU-b3b0bce746,Computers Accessories,1,24.99,24.99,Minas Gerais,760337c825700b7db6d44a71c06753c8
ab8e5f9b860cd703f5f647200c2c7b58-L1,2016-10-06 09:07:52,ab8e5f9b860cd703f5f647200c2c7b58,SKU-95c40b993a,Computers Accessories,1,20.9,20.9,Sao Paulo,90cef361fed2e841d4a2ca888590b952
b8b9d7046c083150cb5360b83a8ebb51-L1,2016-10-06 12:51:54,b8b9d7046c083150cb5360b83a8ebb51,SKU-12715d8bb6,Electronics,1,107.99,107.99,Sao Paulo,6d0572dd5acc888fae43a2e5789bb990
323dad8c483c7f8b818a825d257f4aa0-L1,2016-10-06 20:05:04,323dad8c483c7f8b818a825d257f4aa0,SKU-152153cc85,Telephony,1,29.9,29.9,Sao Paulo,18af4524eed79155034a9374880c5078
517e0a52c193102990befc46a5c5245a-L1,2016-10-06 22:34:03,517e0a52c193102990befc46a5c5245a,SKU-bb0697bdc5,Fixed Telephony,1,79.99,79.99,Sao Paulo,b39c8c284dd7875b68a31449852cc76a
5fe46d14177744ae2180101ce19bb414-L1,2016-10-07 10:06:58,5fe46d14177744ae2180101ce19bb414,SKU-aad225c687,Computers Accessories,1,18.9,18.9,Rio Grande do Norte,c6b482cd350f5dc9a48ec4c1292c72bd
640aef9709beda161ca0b5af58ac437c-L1,2016-10-07 10:57:46,640aef9709beda161ca0b5af58ac437c,SKU-abba22ec8f,Fixed Telephony,1,269.9,269.9,Sao Paulo,215c4eb12924f9cc3c6cbd9a83fd5f69
6ef172eee30cfbfa01516ce2eb2ee68f-L1,2016-10-07 11:37:12,6ef172eee30cfbfa01516ce2eb2ee68f,SKU-d5448c89ef,Telephony,1,18.9,18.9,Sao Paulo,2557b9d6b7d5ca77ebc116062e558214
24523db64c1af3f40f27cb4416fa5ea6-L1,2016-10-07 21:19:32,24523db64c1af3f40f27cb4416fa5ea6,SKU-636f5be2cd,Audio,1,132.0,132.0,Rio de Janeiro,be8375783b7439dd7ef30b89fb46188b
